<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for std::vector<Eigen::Matrix<double, 3, 1, 0, 3, 1>, std::allocator<Eigen::Matrix<double, 3, 1, 0, 3, 1> > > already registered; second conversion method ignored.
<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for boost::python::detail::container_element<std::vector<Eigen::Matrix<double, 3, 1, 0, 3, 1>, std::allocator<Eigen::Matrix<double, 3, 1, 0, 3, 1> > >, unsigned long, boost::python::detail::final_vector_derived_policies<std::vector<Eigen::Matrix<double, 3, 1, 0, 3, 1>, std::allocator<Eigen::Matrix<double, 3, 1, 0, 3, 1> > >, false> > already registered; second conversion method ignored.
<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for std::vector<int, std::allocator<int> > already registered; second conversion method ignored.
<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for std::vector<double, std::allocator<double> > already registered; second conversion method ignored.
<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > already registered; second conversion method ignored.
WARNING: Can't find trunk frames in the model, can't measure leg spacing
WARNING: Can't find head frames in the model, camera_look_at won't work
gait_parameters {'dx': 0.0, 'dy': -0.01, 'dtheta': 0.15, 'duration': 8, 'hardware': True, 'double_support_ratio': 0.25, 'startend_double_support_ratio': 1.5, 'planned_timesteps': 48, 'replan_timesteps': 10, 'walk_com_height': 0.445, 'walk_foot_height': 0.03, 'walk_trunk_pitch': -5.7, 'walk_foot_rise_ratio': 0.3, 'single_support_duration': 0.45, 'single_support_timesteps': 10, 'foot_length': 0.22, 'feet_spacing': 0.114, 'zmp_margin': 0.02, 'foot_zmp_target_x': 0.0, 'foot_zmp_target_y': 0.0, 'walk_max_dtheta': 1.0, 'walk_max_dy': 0.04, 'walk_max_dx_forward': 0.1, 'walk_max_dx_backward': 0.03, 'joints': ['leg_left_ankle_roll_joint', 'leg_left_ankle_pitch_joint', 'leg_left_knee_pitch_joint', 'leg_left_hip_pitch_joint', 'leg_left_hip_yaw_joint', 'leg_left_hip_roll_joint', 'leg_right_ankle_roll_joint', 'leg_right_ankle_pitch_joint', 'leg_right_knee_pitch_joint', 'leg_right_hip_pitch_joint', 'leg_right_hip_yaw_joint', 'leg_right_hip_roll_joint', 'left_wrist_attachment_joint', 'left_fore_arm_joint', 'left_upper_arm_joint', 'left_shoulder_joint', 'right_wrist_attachment_joint', 'right_fore_arm_joint', 'right_upper_arm_joint', 'right_shoulder_joint'], 'joint_angles': {'left_wrist_attachment_joint': 30, 'left_fore_arm_joint': 0, 'left_upper_arm_joint': 0, 'left_shoulder_joint': 0, 'right_wrist_attachment_joint': -30, 'right_fore_arm_joint': 0, 'right_upper_arm_joint': 0, 'right_shoulder_joint': 0}}
Placing the robot in the initial position...
Initial position reached
{'leg_left_ankle_roll_joint': 0.022241089775273854, 'leg_left_ankle_pitch_joint': -0.5108415947756151, 'leg_left_knee_pitch_joint': 0.9607751824780965, 'leg_left_hip_pitch_joint': -0.35116490734395933, 'leg_left_hip_yaw_joint': -0.058671829288733504, 'leg_left_hip_roll_joint': -0.014112132308820184, 'leg_right_ankle_roll_joint': 0.02295445909882805, 'leg_right_ankle_pitch_joint': -0.5370461766060146, 'leg_right_knee_pitch_joint': 1.0458435589217905, 'leg_right_hip_pitch_joint': -0.41005011050768614, 'leg_right_hip_yaw_joint': -0.05922541411997142, 'leg_right_hip_roll_joint': -0.014570624500219148, 'left_wrist_attachment_joint': 0.5235987755982988, 'left_fore_arm_joint': -8.923253565463627e-25, 'left_upper_arm_joint': 1.3898072628414362e-24, 'left_shoulder_joint': 2.015012092260069e-24, 'right_wrist_attachment_joint': -0.5235987755982988, 'right_fore_arm_joint': 1.2132283702086801e-24, 'right_upper_arm_joint': -1.7517524350870787e-24, 'right_shoulder_joint': -1.7804792190982693e-24}
## period: 1.17
You can open the visualizer by visiting the following URL:
http://127.0.0.1:7003/static/
Viewer URL: http://127.0.0.1:7003/static/
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07785
BAD root_position: -0.07785
BAD root_position: -0.07785
BAD root_position: -0.07786
BAD root_position: -0.07810
BAD root_position: -0.07859
BAD root_position: -0.07925
BAD root_position: -0.07996
BAD root_position: -0.08065
BAD root_position: -0.08122
BAD root_position: -0.08157
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08165
BAD root_position: -0.08158
BAD root_position: -0.08121
BAD root_position: -0.08060
BAD root_position: -0.07987
BAD root_position: -0.07913
BAD root_position: -0.07847
BAD root_position: -0.07801
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07794
BAD root_position: -0.07833
BAD root_position: -0.07895
BAD root_position: -0.07968
BAD root_position: -0.08043
BAD root_position: -0.08107
BAD root_position: -0.08151
BAD root_position: -0.08165
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08155
BAD root_position: -0.08114
BAD root_position: -0.08051
BAD root_position: -0.07977
BAD root_position: -0.07902
BAD root_position: -0.07839
BAD root_position: -0.07797
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07787
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07798
BAD root_position: -0.07841
BAD root_position: -0.07905
BAD root_position: -0.07980
BAD root_position: -0.08053
BAD root_position: -0.08116
BAD root_position: -0.08156
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08151
BAD root_position: -0.08105
BAD root_position: -0.08040
BAD root_position: -0.07965
BAD root_position: -0.07892
BAD root_position: -0.07831
BAD root_position: -0.07793
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07785
BAD root_position: -0.07802
BAD root_position: -0.07849
BAD root_position: -0.07915
BAD root_position: -0.07990
BAD root_position: -0.08063
BAD root_position: -0.08123
BAD root_position: -0.08159
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08165
BAD root_position: -0.08166
BAD root_position: -0.08147
BAD root_position: -0.08098
BAD root_position: -0.08031
BAD root_position: -0.07956
BAD root_position: -0.07884
BAD root_position: -0.07825
BAD root_position: -0.07791
BAD root_position: -0.07787
BAD root_position: -0.07787
BAD root_position: -0.07787
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07807
BAD root_position: -0.07857
BAD root_position: -0.07925
BAD root_position: -0.08000
BAD root_position: -0.08072
BAD root_position: -0.08129
BAD root_position: -0.08161
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08164
BAD root_position: -0.08163
BAD root_position: -0.08139
BAD root_position: -0.08088
BAD root_position: -0.08019
BAD root_position: -0.07943
BAD root_position: -0.07872
BAD root_position: -0.07817
BAD root_position: -0.07787
BAD root_position: -0.07785
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07786
BAD root_position: -0.07787
BAD root_position: -0.07813
BAD root_position: -0.07867
BAD root_position: -0.07937
BAD root_position: -0.08012
BAD root_position: -0.08083
BAD root_position: -0.08137
BAD root_position: -0.08165
BAD root_position: -0.08166
BAD root_position: -0.08166
BAD root_position: -0.08166
